url,country_code,canonical_url,crawler_path,priority,notes
https://konzerthaus.at/,AT,,crawlers/at/konzerthaus_at,0,Discovered via Bachtrack BT0092; classification=venue_or_presenter; review_confidence=high; evidence=https://konzerthaus.at/en/program-and-tickets/bamberger-symphoniker-bayerische-staatsphilharmonie-hrusa/63791; Vienna Konzerthaus official classical programme.
https://musikverein.at/,AT,,crawlers/at/musikverein_at,0,Discovered via Bachtrack BT0112; classification=venue_or_presenter; review_confidence=high; evidence=https://musikverein.at/konzert/?id=000f5f46; Major classical concert hall calendar.
https://www.grafenegg.com/,AT,,crawlers/at/grafenegg_com,0,Discovered via Bachtrack BT0073; classification=concert_organization; review_confidence=high; evidence=https://www.grafenegg.com/en/programme-tickets/gluhende-sehnsucht/50583; Official Grafenegg festival and concert programme.
https://www.concertgebouw.be/,BE,,crawlers/be/concertgebouw_be,0,Discovered via Bachtrack BT0052; classification=venue_or_presenter; review_confidence=high; evidence=https://www.concertgebouw.be/en/anima-eterna-brugge-alexander-melnikov-2026-09-18-20-00; Concert hall publishes extensive classical programme.
https://www.flagey.be/,BE,,crawlers/be/flagey_be,0,Discovered via Bachtrack BT0072; classification=venue_or_presenter; review_confidence=high; evidence=https://www.flagey.be/en/agenda/piano-quintet-burnon-suska-janicki-houze-gimenez-zt64; Major music venue with substantial classical listings.
https://www.lamonnaiedemunt.be/,BE,,crawlers/be/lamonnaiedemunt_be,0,Discovered via Bachtrack BT0095; classification=concert_organization; review_confidence=high; evidence=https://www.lamonnaiedemunt.be/en/program/3948-silent-stories-a-grain-of-light; La Monnaie De Munt official opera programme.
https://www.operaballet.be/,BE,,crawlers/be/operaballet_be,0,Discovered via Bachtrack BT0131; classification=concert_organization; review_confidence=high; evidence=https://www.operaballet.be/en/programme/season-2026-2027/orph%C3%A9e-et-euridice; Opera Ballet Vlaanderen official programme.
https://clubmusicaldequebec.com/,CA,,crawlers/ca/clubmusicaldequebec_com,0,Discovered via Bachtrack BT0051; classification=concert_organization; review_confidence=high; evidence=https://clubmusicaldequebec.com/cmq/index.php/programmation/saison-2026-2027/ehnes-armstrong; Official chamber-music society season programme.
https://andermattmusic.ch/,CH,,crawlers/ch/andermattmusic_ch,0,Discovered via Bachtrack BT0010; classification=concert_organization; review_confidence=high; evidence=https://andermattmusic.ch/en/event/the-ayoub-sisters-arabesque/; Official classical festival and concert presenter.
https://hochuli-konzert.ch/,CH,,crawlers/ch/hochuli_konzert_ch,0,Discovered via Bachtrack BT0080; classification=concert_organization; review_confidence=high; evidence=https://hochuli-konzert.ch/konzertkalender/nkz26-27-abokonzert-1-faust-bezuidenhout-241026/; Hochuli Konzert classical concert promoter calendar.
https://klosters-music.ch/,CH,,crawlers/ch/klosters_music_ch,0,Discovered via Bachtrack BT0087; classification=concert_organization; review_confidence=high; evidence=https://klosters-music.ch/en/event/12606/; Official classical music festival programme.
https://lacitebleue.ch/,CH,,crawlers/ch/lacitebleue_ch,0,Discovered via Bachtrack BT0094; classification=venue_or_presenter; review_confidence=medium; evidence=https://lacitebleue.ch/fr/evenements/2026-2027/roma; Venue publishes recurring classical events.
https://migros-kulturprozent-classics.ch/,CH,,crawlers/ch/migros_kulturprozent_classics_ch,0,Discovered via Bachtrack BT0110; classification=concert_organization; review_confidence=high; evidence=https://migros-kulturprozent-classics.ch/en/tickets/concert-overview/ara-malikian-s-intruso; Migros Classics concert series official calendar.
https://www.buehnenbern.ch/,CH,,crawlers/ch/buehnenbern_ch,0,Discovered via Bachtrack BT0189; classification=venue_or_presenter; review_confidence=medium; evidence=https://tickets.buehnenbern.ch/webshop/webticket/seatmap; Resolved ticket subdomain to Buehnen Bern's own theatre and opera programme.
https://www.crescendo-jura.ch/,CH,,crawlers/ch/crescendo_jura_ch,0,Discovered via Bachtrack BT0055; classification=concert_organization; review_confidence=medium; evidence=https://www.crescendo-jura.ch/Piano-a-Saint-Ursanne/Billetterie; Official classical piano festival ticket and programme site.
https://www.gtg.ch/,CH,,crawlers/ch/gtg_ch,0,Discovered via Bachtrack BT0075; classification=concert_organization; review_confidence=high; evidence=https://www.gtg.ch/saison-26-27/la-souris-traviata/; Official opera house season programme.
https://www.kkl-luzern.ch/,CH,,crawlers/ch/kkl_luzern_ch,0,Discovered via Bachtrack BT0086; classification=venue_or_presenter; review_confidence=high; evidence=https://www.kkl-luzern.ch/events/silvesterkonzert; KKL Luzern venue programme includes classical concerts.
https://www.konzerte-basel.ch/,CH,,crawlers/ch/konzerte_basel_ch,0,Discovered via Bachtrack BT0193; classification=concert_organization; review_confidence=high; evidence=https://www.konzerte-basel.ch/medien/programmhefte; Ticket subdomain resolved to Allgemeine Musikgesellschaft Basel programme site.
https://www.lucernefestival.ch/,CH,,crawlers/ch/lucernefestival_ch,0,Discovered via Bachtrack BT0104; classification=concert_organization; review_confidence=high; evidence=https://www.lucernefestival.ch/de/programm/lucerne-festival-orchestra-riccardo-chailly-frank-dupree-solistinnen-des-lucerne-festival-orchestra-und-des-lucerne-festival-contemporary-orchestra-lfco/2346; Lucerne Festival official programme.
https://www.luganolac.ch/,CH,,crawlers/ch/luganolac_ch,0,Discovered via Bachtrack BT0105; classification=venue_or_presenter; review_confidence=high; evidence=https://www.luganolac.ch/en/lac/programma/evento~lac~26-27~osi~osi-san-silvestro~.html; Major arts venue presenting orchestra concerts.
https://www.osi.swiss/,CH,,crawlers/ch/osi_swiss,0,Discovered via Bachtrack BT0138; classification=concert_organization; review_confidence=high; evidence=https://www.osi.swiss/en/concerti/tutti-i-concerti/2026-10-01-20-00; Official Orchestra della Svizzera italiana calendar.
https://www.osr.ch/,CH,,crawlers/ch/osr_ch,0,Discovered via Bachtrack BT0139; classification=concert_organization; review_confidence=high; evidence=https://www.osr.ch/en/concerts-tickets/concerts/detail-dun-evenement/event/concert-2027; Official Orchestre de la Suisse Romande calendar.
https://zko.ch/,CH,,crawlers/ch/zko_ch,0,Discovered via Bachtrack BT0213; classification=concert_organization; review_confidence=high; evidence=https://zko.ch/events/zko-on-tour-daniel-hope-vivaldi-recomposed/; Official Zurich Chamber Orchestra events.
https://janacek-brno.cz/,CZ,,crawlers/cz/janacek_brno_cz,0,Discovered via Bachtrack BT0082; classification=concert_organization; review_confidence=high; evidence=https://janacek-brno.cz/en/14-10-2026-1900-brno-contemporary-orchestra/; Official Janacek Brno festival programme.
https://proarte-frankfurt.de/,DE,,crawlers/de/proarte_frankfurt_de,0,Discovered via Bachtrack BT0150; classification=concert_organization; review_confidence=high; evidence=https://proarte-frankfurt.de/konzerte/jung-hip-orgel/; Classical concert promoter calendar.
