url,country_code,scope_hint,notes
https://lacetra.ch/,CH,country,home country verified
https://www.gliincogniti.com/,FR,country,home country verified
https://camerata-rco.com/,NL,country,home country verified
https://efo.ee/,EE,country,home country verified
https://www.filarmonica.it/,IT,country,home country verified
https://www.lebalcon.com/,FR,country,home country verified
https://www.ensemble-zeitfluss.com/,AT,country,home country verified
https://filharmonia.szczecin.pl/,PL,country,home country verified
https://scottishensemble.co.uk/,GB,country,home country verified
https://voxluminis.com/,BE,country,home country verified
https://www.ilgiardinoarmonico.com/,IT,country,home country verified
https://www.orchestredechambredeparis.com/,FR,country,home country verified
https://www.teatrodelamaestranza.es/,ES,country,home country verified
https://www.tenebrae-choir.com/,GB,country,home country verified
https://ensemblelareveuse.com/,FR,country,home country verified
https://www.chambermusicsociety.org/,US,country,home country verified
https://www.ineoquartet.com/,AT,country,home country verified
https://bristolensemble.com/,GB,country,home country verified
https://genevacamerata.com/,CH,country,home country verified
https://lithuanianchamberorchestra.com/,LT,country,home country verified
https://www.abudhabifestival.ae/,AE,country,home country verified
https://www.mcovt.org/,US,country,home country verified
https://www.modoantiquo.com/,IT,country,home country verified
https://chelseasymphony.org/,US,country,home country verified
https://musicatmenlo.org/,US,country,home country verified
https://qso.com.au/,AU,country,home country verified
https://readingsymphony.org/,US,country,home country verified
https://www.lestalenslyriques.com/,FR,country,home country verified
https://www.oq.com.au/,AU,country,home country verified
https://www.sonatori.net/,IT,country,home country verified
https://yellowbarn.org/,US,country,home country verified
https://www.accademiabizantina.it/,IT,country,home country verified
https://concentus-moraviae.cz/,CZ,country,home country verified
https://www.arts-florissants.org/,FR,country,home country verified
https://www.collegiumvocale.com/,BE,country,home country verified
https://www.concertgebouw.nl/,NL,country,home country verified
https://www.traversees-baroques.fr/,FR,country,home country verified
https://cnz.ch/,CH,country,home country verified
https://oxfordpianofestival.com/,GB,country,home country verified
https://www.daeguconcerthouse.or.kr/,KR,country,home country verified
https://www.lavenexiana.net/,IT,country,home country verified
https://koa.gr/,GR,country,home country verified
https://www.ensembleintercontemporain.com/,FR,country,home country verified
https://www.lessiecles.com/,FR,country,home country verified
https://lfkz.hu/,HU,country,home country verified
https://www.osr.ch/,CH,country,home country verified
https://www.musicworcester.org/,US,country,home country verified
https://app.arts-people.com/,,multi_country,global ticketing platform candidate
https://buytickets.at/,,multi_country,global ticketing platform candidate
https://ci.ovationtix.com/,,multi_country,global ticketing platform candidate
https://www.etix.com/,,multi_country,global ticketing platform candidate
https://www.eventbrite.com/,,multi_country,global ticketing platform candidate
